bolometer 5kOm sample 2.0,bolometer 5kOm sample 2.0,
4439.8640384674,0.0092494274,
4436.0066413879,0.009247683,
4432.1492443085,0.0092692366,
4428.291847229,0.0093300119,
4424.4344501495,0.0093941521,
4420.5770530701,0.0094217919,
4416.7196559906,0.0094439872,
4412.8622589111,0.0095093697,
4409.0048618317,0.0095940828,
4405.1474647522,0.0096430089,
4401.2900676727,0.0096643865,
4397.4326705933,0.0096894326,
4393.5752735138,0.0097221471,
4389.7178764343,0.0097567942,
4385.8604793549,0.0097887563,
4382.0030822754,0.0098217018,
4378.1456851959,0.0098694265,
4374.2882881165,0.009932762,
4370.430891037,0.0099892337,
4366.5734939575,0.0100424122,
4362.7160968781,0.0101061296,
4358.8586997986,0.010161439,
4355.0013027191,0.0102054998,
4351.1439056396,0.0102534639,
4347.2865085602,0.0102855209,
4343.4291114807,0.0102938507,
4339.5717144012,0.0103287715,
4335.7143173218,0.0103920475,
4331.8569202423,0.0104181953,
4327.9995231628,0.0104220491,
4324.1421260834,0.0104723163,
4320.2847290039,0.0105374558,
4316.4273319244,0.0105573796,
4312.569934845,0.0105738174,
4308.7125377655,0.0106236897,
4304.855140686,0.0106755951,
4300.9977436066,0.0107156802,
4297.1403465271,0.0107563697,
4293.2829494476,0.0108135622,
4289.4255523682,0.0108874748,
4285.5681552887,0.0109498417,
4281.7107582092,0.0109850653,
4277.8533611298,0.0110111739,
4273.9959640503,0.0110449791,
4270.1385669708,0.0110819191,
4266.2811698914,0.0111132357,
4262.4237728119,0.0111391582,
4258.5663757324,0.0111764576,
4254.708978653,0.0112417219,
4250.8515815735,0.0113208713,
4246.994184494,0.0113847833,
4243.1367874146,0.0114287063,
4239.2793903351,0.0114653651,
4235.4219932556,0.0114971614,
4231.5645961761,0.0115351994,
4227.7071990967,0.011589149,
4223.8498020172,0.0116422456,
4219.9924049377,0.0116891339,
4216.1350078583,0.0117335105,
4212.2776107788,0.0117678363,
4208.4202136993,0.0117992591,
4204.5628166199,0.0118444953,
