# cwd not inside a repo
# Loss.Nf                = 60
# Loss.fmin              = 45000000000.0
# Loss.fmax              = 155000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.003, 0.003)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 10
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (40, 40)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
208,5778.18,6012.01,-233.83,  0,0.0,reject
212,5533.82,5883.02,-349.2,  0,0.0,reject
209,5778.18,5778.31,-0.13,  0,0.0,reject
213,5533.82,5626.4,-92.58,  0,0.0,reject
210,5778.18,5900.88,-122.7,  0,0.0,reject
214,5533.82,5578.04,-44.22,  0,0.0,reject
215,5533.82,5983.4,-449.58,  0,0.0,reject
211,5778.18,17076.31,-11298.13,  0,0.0,reject
216,5533.82,5532.68,1.14,  0,inf,accept
212,5778.18,5807.97,-29.79,  0,0.0,reject
217,5532.68,5565.23,-32.55,  0,0.0,reject
218,5532.68,5617.96,-85.28,  0,0.0,reject
219,5532.68,5536.21,-3.53,  0,0.0,reject
213,5778.18,17076.31,-11298.13,  0,0.0,reject
220,5532.68,5530.47,2.21,  0,inf,accept
214,5778.18,5777.34,0.84,  0,inf,accept
221,5530.47,5622.82,-92.35,  0,0.0,reject
215,5777.34,5777.46,-0.12,  0,0.0,reject
222,5530.47,5614.34,-83.87,  0,0.0,reject
216,5777.34,6228.62,-451.28,  0,0.0,reject
223,5530.47,5686.59,-156.12,  0,0.0,reject
217,5777.34,5777.33,0.01,  0,14319056582808904403603406229446706122330297256994795296775581979784489164563682687242901122649196401694361658799429431723146116234642211797917439501684458265342845225866760920779928109423953232321310008580864481583834995723563940563937098481463523893117033954449408018272041050402724916811760926720.0,accept
224,5530.47,5965.99,-435.52,  0,0.0,reject
218,5777.33,5788.04,-10.71,  0,0.0,reject
225,5530.47,5741.08,-210.61,  0,0.0,reject
219,5777.33,5817.07,-39.74,  0,0.0,reject
226,5530.47,5598.49,-68.02,  0,0.0,reject
220,5777.33,5792.77,-15.44,  0,0.0,reject
227,5530.47,5564.2,-33.73,  0,0.0,reject
221,5777.33,5777.89,-0.56,  0,0.0,reject
222,5777.33,5789.26,-11.93,  0,0.0,reject
228,5530.47,17076.31,-11545.84,  0,0.0,reject
223,5777.33,6010.89,-233.56,  0,0.0,reject
229,5530.47,5530.46,0.01,  0,inf,accept
224,5777.33,6018.15,-240.82,  0,0.0,reject
