reference.0,reference.0,
4474.5806121826,0.0508663654,
4470.7232151031,0.0510242879,
4466.8658180237,0.0511910059,
4463.0084209442,0.0513440743,
4459.1510238647,0.0515118763,
4455.2936267853,0.0516714379,
4451.4362297058,0.0518302843,
4447.5788326263,0.0519869663,
4443.7214355469,0.0521495342,
4439.8640384674,0.0523081236,
4436.0066413879,0.0524756834,
4432.1492443085,0.0526374616,
4428.291847229,0.0528107136,
4424.4344501495,0.0529741608,
4420.5770530701,0.0531446934,
4416.7196559906,0.0533130057,
4412.8622589111,0.0534868464,
4409.0048618317,0.0536528975,
4405.1474647522,0.053827785,
4401.2900676727,0.0540009663,
4397.4326705933,0.0541747175,
4393.5752735138,0.0543558523,
4389.7178764343,0.0545314178,
4385.8604793549,0.054700911,
4382.0030822754,0.0548825115,
4378.1456851959,0.0550541356,
4374.2882881165,0.0552289337,
4370.430891037,0.0553984717,
4366.5734939575,0.0555786341,
4362.7160968781,0.0557469949,
4358.8586997986,0.0559269339,
4355.0013027191,0.0560997725,
4351.1439056396,0.056284681,
4347.2865085602,0.0564654432,
4343.4291114807,0.0566434078,
4339.5717144012,0.0568344221,
4335.7143173218,0.0570186302,
4331.8569202423,0.0572089218,
4327.9995231628,0.0573953688,
4324.1421260834,0.0575903505,
4320.2847290039,0.0577792898,
4316.4273319244,0.0579681024,
4312.569934845,0.0581523627,
4308.7125377655,0.0583397746,
4304.855140686,0.0585240573,
4300.9977436066,0.0587166771,
4297.1403465271,0.0589047521,
4293.2829494476,0.0590872616,
4289.4255523682,0.0592772439,
4285.5681552887,0.059460599,
4281.7107582092,0.0596559197,
4277.8533611298,0.0598425791,
4273.9959640503,0.060017027,
4270.1385669708,0.0602025315,
4266.2811698914,0.0603864044,
4262.4237728119,0.0605738685,
4258.5663757324,0.0607548803,
4254.708978653,0.0609457307,
4250.8515815735,0.0611365214,
4246.994184494,0.0613305829,
4243.1367874146,0.0615223087,
4239.2793903351,0.0617133677,
4235.4219932556,0.061903052,
4231.5645961761,0.0620900095,
4227.7071990967,0.0622776374,
4223.8498020172,0.062465325,
4219.9924049377,0.0626537055,
4216.1350078583,0.062849462,
4212.2776107788,0.0630477741,
4208.4202136993,0.0632381439,
4204.5628166199,0.0634307265,
4200.7054195404,0.0636287183,
4196.8480224609,0.0638204515,
4192.9906253815,0.0640134513,
4189.133228302,0.0642108172,
4185.2758312225,0.0644031838,
4181.4184341431,0.064595595,
4177.5610370636,0.064793393,
4173.7036399841,0.0649834797,
4169.8462429047,0.0651730299,
4165.9888458252,0.0653807446,
4162.1314487457,0.0655755699,
4158.2740516663,0.0657697991,
4154.4166545868,0.065965116,
4150.5592575073,0.0661654174,
